## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.sourceType,entity.margin
"autoritatile-italiene-vor-sa-stie-ce-informatii-colecteaza-deepseek-si-unde-le-trimit","Autoritățile italiene vor să știe ce informații colectează DeepSeek și unde le trimit","Industry News","Autoritățile italiene investighează modul în care chatbot-ul DeepSeek și serviciile de inteligență artificială conexe colectează și gestionează datele utilizatorilor europeni. Conform politicii de confidențialitate, aplicația înregistrează informații sensibile, precum adrese de e-mail, ID-uri de dispozitive, locații, fișiere partajate și chiar ritmuri de tastare. Datele colectate sunt stocate în China, iar autoritățile italiene solicită clarificări privind scopul colectării și utilizarea acestora, inclusiv dacă sunt folosite pentru antrenarea sistemelor de IA. Autoritatea Italiană pentru Protecția Datelor a acordat un termen de 20 de zile pentru ca firmele responsabile să răspundă, subliniind riscurile potențiale pentru confidențialitatea a milioane de utilizatori.","https://blogapp.bitdefender.com/hotforsecurity/content/images/size/w1000/2025/01/robot-8781973_1920-1.jpg",1,"https://www.bitdefender.com/ro-ro/blog/hotforsecurity/autoritatile-italiene-vor-sa-stie-ce-informatii-colecteaza-deepseek-si-unde-le-trimit","blog",1
"securitatea-google-play-2-3-milioane-de-aplicatii-malitioase-blocate-in-2024","Securitatea Google Play: 2,3 milioane de aplicații malițioase blocate în 2024","Industry News","În 2024, Google a blocat un număr record de 2,36 milioane de aplicații malițioase trimise către Play Store, împiedicând distribuirea de software periculos și protejând utilizatorii Android la nivel global. Măsurile de securitate au fost îmbunătățite prin integrarea inteligenței artificiale în procesul de verificare, care ajută la identificarea aplicațiilor dăunătoare. În plus, Google a interzis 158.000 de conturi de dezvoltatori și a prevenit accesul aplicațiilor riscante la date sensibile. Pentru a-și proteja dispozitivele, utilizatorii Android trebuie să descarce aplicații doar din surse de încredere, să revizuiască permisiunile și să actualizeze regulat aplicațiile și dispozitivele. Bitdefender Mobile Security oferă protecție suplimentară împotriva malware-ului și amenințărilor cibernetice.","https://blogapp.bitdefender.com/hotforsecurity/content/images/size/w1000/2025/02/Securitatea-Google-Play-2-3-milioane-de-aplica-ii-mali-ioase-blocate--n-2024.png",1,"https://www.bitdefender.com/ro-ro/blog/hotforsecurity/securitatea-google-play-2-3-milioane-de-aplicatii-malitioase-blocate-in-2024","blog",1
"meta-blocheaza-o-campanie-malitioasa-impotriva-jurnalistilor-pe-whatsapp","Meta blochează o campanie malițioasă împotriva jurnaliștilor pe WhatsApp","Industry News","Meta a blocat recent o campanie malițioasă care viza jurnaliști și membri ai societății civile, desfășurată prin intermediul WhatsApp. Atacatorii au folosit spyware-ul Paragon, cunoscut și sub denumirea de Graphite, pentru a compromite dispozitivele victimelor, inclusiv prin exploatarea vulnerabilităților zero-click, care nu necesită interacțiune din partea utilizatorului. Aceste atacuri au oferit acces complet la aplicații criptate, precum WhatsApp. După identificarea campaniei, Meta a trimis o notificare de încetare a activităților către Paragon și a avertizat compania cu privire la acțiuni legale. Utilizatorii pot proteja dispozitivele împotriva spyware-ului prin soluții de securitate dedicate, cum ar fi Bitdefender Ultimate Security, care oferă protecție continuă și detecție automată a amenințărilor cibernetice.","https://blogapp.bitdefender.com/hotforsecurity/content/images/size/w1000/2025/02/mariia-shalabaieva-WR6qHgdWS-Y-unsplash-1.jpg",1,"https://www.bitdefender.com/ro-ro/blog/hotforsecurity/meta-blocheaza-o-campanie-malitioasa-impotriva-jurnalistilor-pe-whatsapp","blog",1
"fbi-inchide-cracked-nulled-si-alte-site-uri-similare","FBI închide Cracked, Nulled și alte site-uri similare","Industry News","Operațiunea „Talent” a dus la închiderea mai multor forumuri și comunități de hacking, precum cracked[.]io și nulled[.]to, în urma unei colaborări internaționale între FBI și agenții de aplicare a legii din mai multe țări, inclusiv Italia, Spania, Franța, Grecia, Australia și România. Aceste platforme erau folosite pentru distribuirea de informații de hacking, instrumente de cracking, scurgeri de date și piață pentru produse ilicite, atrăgând milioane de utilizatori. Domeniile acestor site-uri au fost confiscate, iar vizitatorii au fost întâmpinați cu un mesaj oficial despre acțiunile legale. Deși detaliile sunt limitate, echipa Cracked.io a confirmat confiscarea site-ului și așteaptă documentația oficială. Operațiunea continuă, iar autoritățile ar putea efectua arestări în viitor.","https://blogapp.bitdefender.com/hotforsecurity/content/images/size/w1000/2025/01/programming-9199585_1280.png",1,"https://www.bitdefender.com/ro-ro/blog/hotforsecurity/fbi-inchide-cracked-nulled-si-alte-site-uri-similare","blog",1
"infractorii-folosesc-reclame-google-false-pentru-mac-homebrew-intr-o-noua-campanie-malitioasa","Infractorii folosesc reclame Google false pentru Mac Homebrew într-o nouă campanie malițioasă","Industry News","Infractorii cibernetici vizează utilizatorii de Mac printr-o campanie malițioasă de reclame false pentru Homebrew, în care se utilizează AmosStealer, un infostealer pentru macOS. Campania folosește o tehnică de redirecționare, afișând reclame sponsorizate pe Google care duc utilizatorii către un site fals cu o adresă URL aproape identică cu cea legitimă a Homebrew. Odată ajunși pe site-ul fals, utilizatorii sunt încurajați să ruleze o comandă care descarcă și instalează malware-ul AmosStealer. Deși reclamele malițioase au fost eliminate, atacatorii pot crea noi campanii. Utilizatorii de Mac sunt sfătuiți să rămână vigilenți și să folosească soluții de securitate, cum ar fi Bitdefender Ultimate Security, pentru a se proteja de amenințări cibernetice.","https://blogapp.bitdefender.com/hotforsecurity/content/images/size/w1000/2025/01/ramshid-MRPv2MkG3xE-unsplash-1.jpg",1,"https://www.bitdefender.com/ro-ro/blog/hotforsecurity/infractorii-folosesc-reclame-google-false-pentru-mac-homebrew-intr-o-noua-campanie-malitioasa","blog",1
"amprenta-electronica-advertiseri-februarie-2025","„Amprenta” electronica a dispozitivului tău va ajunge la advertiseri începând din februarie 2025","Industry News","Google a anunțat că, începând cu 16 februarie 2025, va permite advertiserilor să folosească tehnici de amprentare electronică (fingerprinting) pentru colectarea datelor utilizatorilor, o schimbare semnificativă față de politica anterioară. Această tehnică presupune utilizarea semnalelor generate de activitatea online a utilizatorului, cum ar fi adresa IP, tipul de sistem de operare și rezoluția ecranului, pentru a-l identifica, fără a fi necesar consimțământul explicit al acestuia. În ciuda avansurilor în tehnologiile de protecție a confidențialității (PETs), Autoritatea pentru Confidențialitate din Marea Britanie (ICO) critică această schimbare, avertizând că amprentarea trebuie să fie utilizată într-un mod legal și transparent. Apple a răspuns și ea, precizând că dezvoltatorii trebuie să declare utilizarea acestei tehnologii în aplicațiile lor pentru a preveni abuzurile.","https://blogapp.bitdefender.com/hotforsecurity/content/images/size/w1000/2025/01/fingerprint-header.jpg",1,"https://www.bitdefender.com/ro-ro/blog/hotforsecurity/amprenta-electronica-advertiseri-februarie-2025","blog",1
"sua-cyber-trust-produse-smart","SUA dă tonul: semnul ‘Cyber Trust’ pentru produse smart intră în vigoare","Industry News","Casa Albă a lansat oficial „U.S. Cyber Trust Mark”, o etichetă de securitate cibernetică pentru dispozitivele inteligente conectate la internet, care ajută consumatorii să identifice produse sigure, protejate împotriva hackerilor. Programul, susținut de FCC și retailerii precum Best Buy și Amazon, promovează standarde de securitate stricte, precum parole complexe și actualizări regulate, pentru a proteja datele utilizatorilor. Începând cu 2025, produsele neconforme vor fi separate de cele conforme, iar sigiliul va deveni un indicator vizibil al securității. Scopul acestui program este să elimine riscurile legate de vulnerabilitățile dispozitivelor smart, stimulând totodată companiile să adopte practici mai riguroase de testare a securității produselor, cu un impact potențial global.","https://blogapp.bitdefender.com/hotforsecurity/content/images/size/w1000/2025/01/cyber-trust-mark-2.jpg",1,"https://www.bitdefender.com/ro-ro/blog/hotforsecurity/sua-cyber-trust-produse-smart","blog",1
"bitdefender-premium-vpn","Bitdefender Premium VPN","Produse Confidentialitate","Planurile All-in-One includ un VPN ultra-rapid care protejează identitatea și activitatea online, oferind trafic nelimitat pentru până la 10 dispozitive. Beneficiezi de streaming și descărcări sigure, acces la peste 4000 de servere din 49 de țări și protecție completă fără jurnale de trafic.","https://www.bitdefender.com/ro-ro/consumer/media_1052b1b2ff0384842a462e8fb5363089983e725f2.png?width=2000&format=webply&optimize=medium",149.99,"https://www.bitdefender.com/ro-ro/consumer/vpn","produse",1
"bitdefender-securepass","Bitdefender SecurePass","Produse Confidentialitate","Software-ul de gestionare a parolelor ultra-sigur păstrează parolele tale protejate și accesibile de oriunde, sincronizându-se pe toate platformele și browserele importante. Cu protocoale de securitate avansate, simplifică administrarea identităților tale online, oferindu-ți protecție completă.","https://www.bitdefender.com/ro-ro/consumer/media_10b7b225136349a1269d2ef810c6ea0b30a91f125.jpeg?width=2000&format=webply&optimize=medium",89.99,"https://www.bitdefender.com/ro-ro/consumer/password-manager","produse",1
"bitdefender-antivirus-for-mac","Antivirus for Mac","Securitate pentru Mac și dispozitive mobile","Alege o soluție antivirus completă pentru Mac, oferind protecție în timp real împotriva virușilor și ransomware-ului, blocarea adware-ului și VPN inclus pentru navigare rapidă și anonimă. Beneficiezi și de protecție Time Machine pentru fișierele tale salvate, garantând siguranță completă pentru activitatea online.","https://www.bitdefender.com/ro-ro/consumer/media_1edb1fb79708a35f460923fc4ec2a02668a835f52.png?width=2000&format=webply&optimize=medium",100.00,"https://www.bitdefender.com/ro-ro/consumer/antivirus-for-mac","produse",1
"bitdefender-mobile-security-for-ios","Mobile Security for iOS","Securitate pentru Mac și dispozitive mobile","Protejează-ți iPhone-ul cu Bitdefender Mobile Security, oferind protecție eficientă împotriva amenințărilor și un impact minim asupra bateriei. Criptează traficul cu VPN-ul inclus, verifică securitatea telefonului, protejează-ți datele personale și detectează riscurile, asigurându-te că aplicațiile tale sunt sigure și corect configurate.","https://www.bitdefender.com/ro-ro/consumer/media_1384a134e3001bc0c83bf1a646ba9205c0c4431f8.jpeg?width=2000&format=webply&optimize=medium",49.99,"https://www.bitdefender.com/ro-ro/consumer/mobile-security-ios","produse",1
"bitdefender-mobile-security-for-andrdroid","Mobile Security for Android","Securitate pentru Mac și dispozitive mobile","Protejează-ți dispozitivele Android cu Bitdefender Mobile Security, oferind protecție avansată împotriva virușilor și malware-ului. Beneficiezi de VPN securizat, protecție împotriva fraudelor pe mobil, localizare și ștergere de la distanță a datelor, plus o funcție de confidențialitate pentru conturi și un impact redus asupra bateriei.","https://www.bitdefender.com/ro-ro/consumer/media_15f403078b5f159d23a47dd5d7b8bcc87834af080.jpeg?width=2000&format=webply&optimize=medium",49.99,"https://www.bitdefender.com/ro-ro/consumer/mobile-security-android","produse",1
